Code région,,Région,,Code département,,Département,,Circonscription,,Inscrits,,Votants,,Exprimés,,Blancs et nuls,,Taux de participation,,Nuance 1,,Prénom candidat 1,,Nom candidat 1,,Liste 1,,Nombre de voix 1,,Nuance 2,,Prénom candidat 2,,Nom candidat 2,,Liste 2,,Nombre de voix 2,,Nuance 3,,Prénom candidat 3,,Nom candidat 3,,Liste 3,,Nombre de voix 3,,Nuance 4,,Prénom candidat 4,,Nom candidat 4,,Liste 4,,Nombre de voix 4,,Nuance 5,,Prénom candidat 5,,Nom candidat 5,,Liste 5,,Nombre de voix 5,,Nuance 6,,Prénom candidat 6,,Nom candidat 6,,Liste 6,,Nombre de voix 6,,Nuance 7,,Prénom candidat 7,,Nom candidat 7,,Liste 7,,Nombre de voix 7,,Nuance 8,,Prénom candidat 8,,Nom candidat 8,,Liste 8,,Nombre de voix 8,,Nuance 9,,Prénom candidat 9,,Nom candidat 9,,Liste 9,,Nombre de voix 9,,Nuance 10,,Prénom candidat 10,,Nom candidat 10,,Liste 10,,Nombre de voix 10,,Nuance 11,,Prénom candidat 11,,Nom candidat 11,,Liste 11,,Nombre de voix 11,,Nuance 12,,Prénom candidat 12,,Nom candidat 12,,Liste 12,,Nombre de voix 12,,Nuance 13,,Prénom candidat 13,,Nom candidat 13,,Liste 13,,Nombre de voix 13,,Nuance 14,,Prénom candidat 14,,Nom candidat 14,,Liste 14,,Nombre de voix 14,,Nuance 15,,Prénom candidat 15,,Nom candidat 15,,Liste 15,,Nombre de voix 15,,Nuance 16,,Prénom candidat 16,,Nom candidat 16,,Liste 16,,Nombre de voix 16,,Nuance 17,,Prénom candidat 17,,Nom candidat 17,,Liste 17,,Nombre de voix 17,,Nuance 18,,Prénom candidat 18,,Nom candidat 18,,Liste 18,,Nombre de voix 18,,Nuance 19,,Prénom candidat 19,,Nom candidat 19,,Liste 19,,Nombre de voix 19,
91,,LANGUEDOC-ROUSSILLON,Languedoc-Roussillon Département de l'Hérault Republic of France http://sws.geonames.org/3007669/,11,,AUDE,,2,,102351,,68227,,64701,,3526,,"66,66",,LO-LCR,,DAVID,,HERMET,,LISTE LCR-LO CONDUITE PAR DAVID HERMET,,3178,,SOC-COM-autreG,,GEORGES,,FRECHE,,LISTE UNION TOUTE CONDUITE PAR GEORGES FRECHE,,26323,,ECO,,GEORGES,,FANDOS,,LISTE ECOLOGISTE ET CITOYENNE SOUTENUE PAR CAP 21 CONDUITE PAR GEORGES FANDOS,,2711,,UDF,,MARC,,DUFOUR,,LA RELEVE MARC DUFOUR,,2603,,UMP,,JACQUES,,BLANC,,LISTE UNION POUR LE LANGUEDOC-ROUSSILLON CONDUITE PAR JACQUES BLANC,,15772,,FN,,ALAIN,,JAMET,,"LISTE FN POUR LE LANGUEDOC-ROUSSILLON, CONDUITE PAR ALAIN JAMET",,9470,,MNR,,ELISABETH,,PASCAL,,"LA VRAIE DROITE EN LANGUEDOC-ROUSSILLON, LISTE CONDUITE PAR ELIZABETH PASCAL, SOUTENUE PAR BRUNO MEGRET ET LE MOUVEMENT NATIONAL REPUBLICAIN (MNR)",,353,,CPNT,,ALAIN,,ESCLOPE,,C-P-N-T AVEC ALAIN ESCLOPE (PO) PIERRE FOULQUIER (11) FERDINAND JAOUL (34) GILBERT BAGNOL (30) FREDERIC FRAZZONI (48),,3533,,REG,,CHRISTIAN,,LACOUR,,LANGUEDOC-CATALOGNE 2004,,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,ILE-DE-FRANCE,,75,,PARIS,,18,,49711,,31342,,30773,,569,,"63,05",,LO-LCR,,ARLETTE,,LAGUILLER,,LUTTE OUVRIERE-LIGUE COMMUNISTE REVOLUTIONNAIRE SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT,,1313,,COM,,M.GEORGE,,BUFFET,,"LE PARTI COMMUNISTE FRANCAIS,L'ASSOCIATION DE LA GAUCHE REPUBLICAINE,LES COLLECTIFS D'ALTERNATIVE CITOYENNE.",,2252,,SOC-ECO,,J.PAUL,,HUCHON,,RASSEMBLEMENT DE LA GAUCHE ET DES VERTS,,14159,,ECO,,CARINE,,PELEGRIN,,DE L'OXYGENE POUR L'ILE DE FRANCE,,624,,UDF,,ANDRE,,SANTINI,,L'ILE DE FRANCE EST DE RETOUR AVEC ANDRE SANTINI,,3779,,UMP,,J.FRANCOIS,,COPE,,"POUR QUE VIVRE ICI SOIT UNE CHANCE POUR TOUS. UMP-MPF-DVD-INDEPENDANTS, LISTE SOUTENUE PAR NICOLAS SARKOZY",,5659,,FN,,MARINE,,LE PEN,,LISTE FRONT NATIONAL POUR L'ILE-DE-FRANCE CONDUITE PAR MARINE LE PEN,,2786,,EXD,,NICOLAS,,BAY,,LA VRAIE DROITE EN ILE-DE-FRANCE - LISTE CONDUITE PAR NICOLAS BAY LISTE SOUTENUE PAR BRUNO MEGRET ET LE MOUVEMENT NATIONAL REPUBLICAIN (MNR),,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,ILE-DE-FRANCE,,95,,VAL-D'OISE,,3,,76871,,46437,,45025,,1412,,"60,41",,LO-LCR,,ARLETTE,,LAGUILLER,,LUTTE OUVRIERE-LIGUE COMMUNISTE REVOLUTIONNAIRE SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT,,1887,,COM,,M.GEORGE,,BUFFET,,"LE PARTI COMMUNISTE FRANCAIS,L'ASSOCIATION DE LA GAUCHE REPUBLICAINE,LES COLLECTIFS D'ALTERNATIVE CITOYENNE.",,3111,,SOC-ECO,,J.PAUL,,HUCHON,,RASSEMBLEMENT DE LA GAUCHE ET DES VERTS,,14046,,ECO,,CARINE,,PELEGRIN,,DE L'OXYGENE POUR L'ILE DE FRANCE,,1341,,UDF,,ANDRE,,SANTINI,,L'ILE DE FRANCE EST DE RETOUR AVEC ANDRE SANTINI,,6486,,UMP,,J.FRANCOIS,,COPE,,"POUR QUE VIVRE ICI SOIT UNE CHANCE POUR TOUS. UMP-MPF-DVD-INDEPENDANTS, LISTE SOUTENUE PAR NICOLAS SARKOZY",,10714,,FN,,MARINE,,LE PEN,,LISTE FRONT NATIONAL POUR L'ILE-DE-FRANCE CONDUITE PAR MARINE LE PEN,,6737,,EXD,,NICOLAS,,BAY,,LA VRAIE DROITE EN ILE-DE-FRANCE - LISTE CONDUITE PAR NICOLAS BAY LISTE SOUTENUE PAR BRUNO MEGRET ET LE MOUVEMENT NATIONAL REPUBLICAIN (MNR),,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,ILE-DE-FRANCE,,92,,HAUTS-DE-SEINE,,10,,58987,,39835,,39124,,711,,"67,53",,LO-LCR,,ARLETTE,,LAGUILLER,,LUTTE OUVRIERE-LIGUE COMMUNISTE REVOLUTIONNAIRE SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT,,990,,COM,,M.GEORGE,,BUFFET,,"LE PARTI COMMUNISTE FRANCAIS,L'ASSOCIATION DE LA GAUCHE REPUBLICAINE,LES COLLECTIFS D'ALTERNATIVE CITOYENNE.",,1640,,SOC-ECO,,J.PAUL,,HUCHON,,RASSEMBLEMENT DE LA GAUCHE ET DES VERTS,,11180,,ECO,,CARINE,,PELEGRIN,,DE L'OXYGENE POUR L'ILE DE FRANCE,,701,,UDF,,ANDRE,,SANTINI,,L'ILE DE FRANCE EST DE RETOUR AVEC ANDRE SANTINI,,17445,,UMP,,J.FRANCOIS,,COPE,,"POUR QUE VIVRE ICI SOIT UNE CHANCE POUR TOUS. UMP-MPF-DVD-INDEPENDANTS, LISTE SOUTENUE PAR NICOLAS SARKOZY",,4376,,FN,,MARINE,,LE PEN,,LISTE FRONT NATIONAL POUR L'ILE-DE-FRANCE CONDUITE PAR MARINE LE PEN,,2593,,EXD,,NICOLAS,,BAY,,LA VRAIE DROITE EN ILE-DE-FRANCE - LISTE CONDUITE PAR NICOLAS BAY LISTE SOUTENUE PAR BRUNO MEGRET ET LE MOUVEMENT NATIONAL REPUBLICAIN (MNR),,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,LANGUEDOC-ROUSSILLON,Languedoc-Roussillon Département de l'Hérault Republic of France http://sws.geonames.org/3007669/,34,,HERAULT,,2,,60297,,37997,,36785,,1212,,"63,02",,LO-LCR,,DAVID,,HERMET,,LISTE LCR-LO CONDUITE PAR DAVID HERMET,,1651,,SOC-COM-autreG,,GEORGES,,FRECHE,,LISTE UNION TOUTE CONDUITE PAR GEORGES FRECHE,,17621,,ECO,,GEORGES,,FANDOS,,LISTE ECOLOGISTE ET CITOYENNE SOUTENUE PAR CAP 21 CONDUITE PAR GEORGES FANDOS,,1980,,UDF,,MARC,,DUFOUR,,LA RELEVE MARC DUFOUR,,1855,,UMP,,JACQUES,,BLANC,,LISTE UNION POUR LE LANGUEDOC-ROUSSILLON CONDUITE PAR JACQUES BLANC,,7828,,FN,,ALAIN,,JAMET,,"LISTE FN POUR LE LANGUEDOC-ROUSSILLON, CONDUITE PAR ALAIN JAMET",,4714,,MNR,,ELISABETH,,PASCAL,,"LA VRAIE DROITE EN LANGUEDOC-ROUSSILLON, LISTE CONDUITE PAR ELIZABETH PASCAL, SOUTENUE PAR BRUNO MEGRET ET LE MOUVEMENT NATIONAL REPUBLICAIN (MNR)",,275,,CPNT,,ALAIN,,ESCLOPE,,C-P-N-T AVEC ALAIN ESCLOPE (PO) PIERRE FOULQUIER (11) FERDINAND JAOUL (34) GILBERT BAGNOL (30) FREDERIC FRAZZONI (48),,649,,REG,,CHRISTIAN,,LACOUR,,LANGUEDOC-CATALOGNE 2004,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,AUVERGNE,Auvergne Republic of France Republic of France http://sws.geonames.org/3035876/,63,,PUY-DE-DOME,,2,,72993,,47321,,45475,,1846,,"64,83",,LO-LCR,,MARIE,,SAVRE,,LISTE LUTTE OUVRIERE - LIGUE COMMUNISTE REVOLUTIONNAIRE SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT.,,2056,,COM,,ANDRE,,CHASSAIGNE,,"AUVERGNE, ET MAINTENANT UN SOUFFLE NOUVEAU ! LISTE DE RASSEMBLEMENT CONDUITE PAR ANDRE CHASSAIGNE, DEPUTE COMMUNISTE",,3761,,SOC-COM-ECO,,P.JOEL,,BONTE,,"AVEC PIERRE-JOËL BONTE, VIVONS L'AUVERGNE SOLIDAIRE",,15738,,ECO,,YVES,,GUEYDON,,LES VERTS AUVERGNE ECOLOGIE,,2947,,ECO,,HUBERT,,CONSTANCIAS,,VIVRE L'AUVERGNE AVEC LES ECOLOGISTES LISTE MEI,,1096,,UDF-UMP,,VALERY,,GISCARD D'ESTAING,,LISTE UNION POUR L'AUVERGNE,,14453,,DVD,,HUGUES,,AUVRAY,,LISTE POUR L'AUVERGNE,,1307,,FN,,LOUIS,,DE CONDE,,FRONT NATIONAL EN AUVERGNE-BOURBONNAIS-VELAY AVEC LE PEN CONDUITE PAR LOUIS DE CONDE,,3597,,MNR,,CLAUDE,,JAFFRES,,"ISLAMISATION, IMPOTS, DELINQUANCE, INJUSTICE, CA NE PEUT PLUS DURER, LA VRAIE DROITE EN AUVERGNE, LISTE CONDUITE PAR C JAFFRES, SOUTENUE PAR B MEGRET ET LE MNR",,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,AUVERGNE,Auvergne Republic of France Republic of France http://sws.geonames.org/3035876/,3,,ALLIER,,4,,62257,,38554,,36135,,2419,,"61,93",,LO-LCR,,MARIE,,SAVRE,,LISTE LUTTE OUVRIERE - LIGUE COMMUNISTE REVOLUTIONNAIRE SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT.,,1652,,COM,,ANDRE,,CHASSAIGNE,,"AUVERGNE, ET MAINTENANT UN SOUFFLE NOUVEAU ! LISTE DE RASSEMBLEMENT CONDUITE PAR ANDRE CHASSAIGNE, DEPUTE COMMUNISTE",,2746,,SOC-COM-ECO,,P.JOEL,,BONTE,,"AVEC PIERRE-JOËL BONTE, VIVONS L'AUVERGNE SOLIDAIRE",,8778,,ECO,,YVES,,GUEYDON,,LES VERTS AUVERGNE ECOLOGIE,,2450,,ECO,,HUBERT,,CONSTANCIAS,,VIVRE L'AUVERGNE AVEC LES ECOLOGISTES LISTE MEI,,778,,UDF-UMP,,VALERY,,GISCARD D'ESTAING,,LISTE UNION POUR L'AUVERGNE,,12782,,DVD,,HUGUES,,AUVRAY,,LISTE POUR L'AUVERGNE,,1502,,FN,,LOUIS,,DE CONDE,,FRONT NATIONAL EN AUVERGNE-BOURBONNAIS-VELAY AVEC LE PEN CONDUITE PAR LOUIS DE CONDE,,5009,,MNR,,CLAUDE,,JAFFRES,,"ISLAMISATION, IMPOTS, DELINQUANCE, INJUSTICE, CA NE PEUT PLUS DURER, LA VRAIE DROITE EN AUVERGNE, LISTE CONDUITE PAR C JAFFRES, SOUTENUE PAR B MEGRET ET LE MNR",,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,ILE-DE-FRANCE,,94,,VAL-DE-MARNE,,9,,47552,,26845,,25959,,886,,"56,45",,LO-LCR,,ARLETTE,,LAGUILLER,,LUTTE OUVRIERE-LIGUE COMMUNISTE REVOLUTIONNAIRE SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT,,1447,,COM,,M.GEORGE,,BUFFET,,"LE PARTI COMMUNISTE FRANCAIS,L'ASSOCIATION DE LA GAUCHE REPUBLICAINE,LES COLLECTIFS D'ALTERNATIVE CITOYENNE.",,3601,,SOC-ECO,,J.PAUL,,HUCHON,,RASSEMBLEMENT DE LA GAUCHE ET DES VERTS,,9470,,ECO,,CARINE,,PELEGRIN,,DE L'OXYGENE POUR L'ILE DE FRANCE,,626,,UDF,,ANDRE,,SANTINI,,L'ILE DE FRANCE EST DE RETOUR AVEC ANDRE SANTINI,,3047,,UMP,,J.FRANCOIS,,COPE,,"POUR QUE VIVRE ICI SOIT UNE CHANCE POUR TOUS. UMP-MPF-DVD-INDEPENDANTS, LISTE SOUTENUE PAR NICOLAS SARKOZY",,4165,,FN,,MARINE,,LE PEN,,LISTE FRONT NATIONAL POUR L'ILE-DE-FRANCE CONDUITE PAR MARINE LE PEN,,3297,,EXD,,NICOLAS,,BAY,,LA VRAIE DROITE EN ILE-DE-FRANCE - LISTE CONDUITE PAR NICOLAS BAY LISTE SOUTENUE PAR BRUNO MEGRET ET LE MOUVEMENT NATIONAL REPUBLICAIN (MNR),,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,NORD-PAS-DE-CALAIS,Nord-Pas-de-Calais Republic of France Republic of France http://sws.geonames.org/2990119/,59,,NORD,,24,,64305,,38277,,35843,,2434,,"59,52",,LO-LCR,,NICOLE,,BAUDRIN,,LUTTE OUVRIERE - LIGUE COMMUNISTE REVOLUTIONNAIRE - LISTE LO-LCR SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT ET CONDUITE PAR NICOLE BAUDRIN,,2057,,COM,,ALAIN,,BOCQUET,,TOUS ENSEMBLE POUR UN NORD/PAS DE CALAIS ENFIN RESPECTE ! AVEC LA LISTE CONDUITE PAR ALAIN BOCQUET PRESENTEE PAR LE PARTI COMMUNISTE FRANCAIS,,3731,,SOC,,DANIEL,,PERCHERON,,"RESISTER AGIR AVANCER A GAUCHE, POUR LE NORD-PAS DE CALAIS",,9481,,ECO,,J.FRANCOIS,,CARON,,"L'ECOLOGIE, LES VERTS",,1808,,ECO,,HENRI,,BAILLEUL,,ECOLOGISTES - UNION ECOLOGISTE ET ALTERMONDIALISTE SOCIALE ET CITOYENNE,,708,,UDF,,VALERIE,,LETARD,,"L'AVENIR DE LA REGION, LISTE D'OUVERTURE SOUTENUE PAR L'UDF ET FRANCOIS BAYROU",,2771,,UMP,,J.PAUL,,DELEVOYE,,"LE NORD - PAS-DE-CALAIS, J'Y CROIS!",,6691,,FN,,CARL,,LANG,,FRONT NATIONAL POUR LE NORD/PAS DE CALAIS SOUTENUE PAR JEAN-MARIE LE PEN,,7594,,MNR,,YANN,,PHELIPPEAU,,"ISLAMISATION, IMPOT, DELINQUANCE, INJUSTICES, CA NE PEUT PLUS DURER, LA VRAIE DROITE EN NORD-PAS-DE-CALAIS",,595,,DIV,,J.MARC,,MAURICE,,"DEFENDONS LA CHASSE, NOS TERROIRS ET NOS TRADITIONS",,0,,DIV,,GEORGES,,HIEN,,LISTE DES CITOYENS INDEPENDANTS AGIR POUR NE PLUS SUBIR,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,AQUITAINE,Aquitaine Département du Lot-et-Garonne Republic of France http://sws.geonames.org/3037349/,64,,PYRENEES-ATLANTIQUES,,6,,86768,,50900,,47931,,2969,,"58,66",,LO-LCR,,MARTINE,,MAILFERT,,LIGUE COMMUNISTE REVOLUTIONNAIRE - LUTTE OUVRIERE,,2307,,COM,,ANNIE,,GUILHAMET,,LISTE CITOYENNE D'INITIATIVE COMMUNISTE,,1506,,SOC-ECO,,ALAIN,,ROUSSET,,"ALAIN ROUSSET, L'AQUITAINE, AVEC VOUS",,15575,,UDF,,FRANCOIS,,BAYROU,,"L'AQUITAINE, LA VIE ENSEMBLE",,9212,,UMP,,XAVIER,,DARCOS,,LAQUITAINE EN TETE,,12461,,FN,,JACQUES,,COLOMBIER,,FRONT NATIONAL POUR L'AQUITAINE LISTE PRESENTEE PAR JEAN MARIE LE PEN,,3900,,CPNT,,JEAN,,SAINT JOSSE,,POUR MIEUX VIVRE EN AQUITAINE,,2970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
