Région,,UE,,Batiment.Terrain,,ID,,Type,,Fonction,,Désignation.Bâtiment.Terrain,,Dept,,Adresse,,Code.Postal,,Ville,,Pays,,Ministère,
PACA,,122490,,180044,,IG00100019160,,Espace naturel,,Terrain en friche,,AUTOROUTE A 51,,4,,Lieu-dit LE FRIGOURAS,,4200,,PEIPIN,Peipin Peipin Republic of France http://sws.geonames.org/2988208/,France,,"Ecologie, développement et aménagement durables.",
ILE DE France,,137530,,149821,,IG00100039901,,Espace naturel,,Terrain en friche,,TRANSFERT EPA ETAT PARCELLES DE TERRAIN JOUY LE MOUTIER,,95,,lieudit des Saules Brûlés,,95000,Neuville-sur-Oise Neuville-sur-Oise Republic of France http://sws.geonames.org/2990518/,JOUY-LE-MOUTIER,Jouy-le-Moutier Jouy-le-Moutier Republic of France http://sws.geonames.org/3012162/,France,,"Ecologie, développement et aménagement durables.",
ALSACE,,131836,,198410,,IG00100020159,,Espace naturel,,Cimetière,,CIMETIERE MILITAIRE FRANCAIS-ALLIES,,68,,Lieu-dit RAIN,,68000,Colmar Colmar Republic of France http://sws.geonames.org/3024297/,MOOSCH,Moosch Moosch Republic of France http://sws.geonames.org/2991906/,France,,Culture et communication.,
MIDI-PYRENNEES,,101126,,221438,,IB00100042976,,Edifice du culte,,Cathédrale,,CATHEDRALE SAINT ETIENNE,,31,,Place ST ETIENNE,,31000,,TOULOUSE,Toulouse-le-Château Toulouse-le-Château Republic of France http://sws.geonames.org/2972313/,France,,Culture et communication.,
FRANCHE COMTE,,102820,,209827,,IB00100045214,,Bâtiment culturel,,Équipement culturel,,BIBLIOTHEQUE CENTRALE DE PRET,,90,,53 Avenue D ALTKIRCH,,90000,Belfort Belfort Republic of France http://sws.geonames.org/3033791/,BELFORT,Belfort Belfort Republic of France http://sws.geonames.org/3033791/,France,,Culture et communication.,
POITOU,,178661,,357435,,IG00100077156,,Espace naturel,,Terrain en friche,,XYNTHIA17091MORGENTHALER FLORENCE,,17,,42 RUE DU 14 JUILLET,,17230,Longèves Arrondissement de La Rochelle Republic of France http://sws.geonames.org/6427980/,CHARRON,Charron Charron Republic of France http://sws.geonames.org/3026481/,France,,France Domaine,
RHONE ALPES,,121183,,200402,,IG00100038727,,Espace naturel,,Terrain délaissé,,AMENAGEMENTS RN 90,,73,,Lieu-dit EN CORNILLON,,73260,Aigueblanche Aigueblanche Republic of France http://sws.geonames.org/3038505/,AIGUEBLANCHE,Aigueblanche Aigueblanche Republic of France http://sws.geonames.org/3038505/,France,,"Ecologie, développement et aménagement durables.",
NORD-PAS DE CALAIS,,120214,,156853,,IB00100015135,,Bureau,,Commissariat,,COMMISSARIAT de  POLICE,,59,,6 Rue GAMBETTA,,59490,Bruille-lez-Marchiennes Bruille-lez-Marchiennes Republic of France http://sws.geonames.org/3029791/,SOMAIN,Somain Somain Republic of France http://sws.geonames.org/2974324/,France,,"Intérieur, outre-mer et collectivités territoriales.",
PACA,,184226,,376704,,IG00100084813,,Espace naturel,,Terrain en friche,,TERRAIN:SUPPORT JUR D'1 AOT ASSORTIE D LOCAT° av OPT D ACHAT,,83,,QUARTIER SAUVEGRAIN,,83160,La Valette-du-Var Arrondissement de Toulon Republic of France http://sws.geonames.org/6456551/,LA VALETTE DU VAR,,France,,"Intérieur, outre-mer et collectivités territoriales.",
RHONE ALPES,,136383,,179372,,IG00100009074,,Espace naturel,,Terrain en friche,,TERRAIN,,42,,Lieu-dit AUX VALLERES,,42260,Luré Arrondissement de Roanne Republic of France http://sws.geonames.org/6434190/,BUSSY-ALBIEUX,Bussy-Albieux Bussy-Albieux Republic of France http://sws.geonames.org/3029405/,France,,France Domaine,
