Code département,,département,,circonscription,,Inscrits,,Votants,,Exprimés,,Blancs et nuls,,Parti communiste,,Union des Forces Démocratiques,,Section Française de l'Internationale Ouvrière,,Radicaux socialistes,,Radicaux centristes,,Radicaux Union des Forces Démocratiques,,Union Démocratique et Socialiste de la Résistance-minoritaires,,Union pour la Nouvelle République,,Centre Réformateur Républicain,,Divers gaullistes,,Mouvement Républicain Populaire,,Centre National des Indépendants,,Modérés,,Divers extrême droite,,Poujadistes,,Divers,
74,,HAUTE-SAVOIE,,2,,46071,,34360,,33868,,492,,4995,,0,,0,,2334,,0,,0,,0,,0,,0,,0,,8828,,17711,,0,,0,,0,,0,
75,,PARIS,http://sws.geonames.org/2988507/,54,,68552,,56465,,55205,,1260,,13130,,7111,,6298,,755,,2797,,0,,0,,11233,,0,,341,,4984,,8556,,0,,0,,0,,0,
33,,GIRONDE,http://sws.geonames.org/3015951/,1,,74136,,57078,,56021,,1057,,6305,,0,,8439,,3376,,0,,0,,0,,12594,,7063,,0,,3376,,10351,,0,,2848,,1669,,0,
69,,RHONE,,9,,44485,,34214,,33074,,1140,,3603,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11966,,0,,13600,,1866,,2039,,0,
59,,NORD,http://sws.geonames.org/6475480/,22,,49663,,41281,,40747,,534,,11658,,0,,16079,,0,,0,,0,,0,,13010,,0,,0,,0,,0,,0,,0,,0,,0,
11,,AUDE,http://sws.geonames.org/3036253/,3,,54188,,40482,,39012,,1470,,5566,,0,,13115,,11236,,0,,0,,0,,0,,0,,0,,0,,7461,,0,,0,,1634,,0,
75,,PARIS,http://sws.geonames.org/2988507/,40,,49720,,39788,,38865,,923,,21106,,0,,3528,,1109,,0,,0,,0,,0,,0,,0,,0,,8028,,4385,,0,,0,,709,
62,,PAS-DE-CALAIS,,2,,55182,,46689,,45502,,1187,,8665,,0,,11814,,0,,0,,0,,0,,13215,,0,,0,,9760,,0,,0,,0,,2048,,0,
62,,PAS-DE-CALAIS,,6,,55381,,46434,,45325,,1109,,6091,,0,,14549,,0,,0,,0,,0,,15207,,0,,0,,0,,8249,,1229,,0,,0,,0,
75,,PARIS,http://sws.geonames.org/2988507/,33,,58011,,47690,,46772,,918,,18492,,0,,8296,,0,,0,,2201,,0,,12487,,0,,0,,4334,,0,,0,,962,,0,,0,
