Numéro,,Pays,,Continent,,Type de coopération,,Collectivité,,Partenaire,,Année,,Thématique,,Sous-thématique,,Statut,,Maître(s) d’oeuvre du projet,,Maître(s) d’ouvrage du projet,,Bénéficiaire(s) du projet,,Coût total de l’opération,,Cofinancement du MAE,,Part financière de la collectivité,,Loi Oudin,,Autre financement,,Intitulé du projet,,Partenaires du projet en France,,Partenaires du projet dans le pays partenaire,,Objectifs,,Description détaillée,
6725,,Allemagne,,Europe,Europe Arrondissement of Montpellier Republic of France http://sws.geonames.org/6529468/,Coopérations décentralisées,,La Meignanne,La Meignanne Arrondissement d’Angers Republic of France http://sws.geonames.org/6456074/,Alfhausen,,2000,,Culture,,Echanges culturels et artistiques,,En cours,,,,,,,,0,,0,,0,,Non,,0,,Jumelage,,,,,, Non précisé.,, Non précisé.,
2686,,Allemagne,,Europe,Europe Arrondissement of Montpellier Republic of France http://sws.geonames.org/6529468/,Coopérations décentralisées,,Argentan,Argentan Argentan Republic of France http://sws.geonames.org/3037051/,Rotenburg An Der Fuld,,1980,,Culture,,Echanges culturels et artistiques,,En cours,,,,,,,,0,,0,,0,,Non,,0,,Jumelage,,,,,, Non précisé.,, Non précisé.,
5973,,Allemagne,,Europe,Europe Arrondissement of Montpellier Republic of France http://sws.geonames.org/6529468/,Coopérations décentralisées,,Biesles,Biesles Arrondissement de Chaumont Republic of France http://sws.geonames.org/6449599/,Nordendorf,,1973,,Culture,,Echanges culturels et artistiques,,En cours,,,,,,,,0,,0,,0,,Non,,0,,Jumelage,,,,,, Non précisé.,, Non précisé.,
1179,,Arménie,,Europe,Europe Arrondissement of Montpellier Republic of France http://sws.geonames.org/6529468/,Coopérations décentralisées,,Issy-Les-Moulineaux,Issy-les-Moulineaux Arrondissement de Boulogne-Billancourt Republic of France http://sws.geonames.org/6451970/,Etchmiadzine,,1989,,Education et enseignement,,Enfance et jeunesse,,Terminé,,,,,,Familles d'Etchmiadzine,,4110,,0,,4110,,Non,,0,,Equipement de la première crèche d'Etchmiadzine,,,,,, Equipement d'une crèche.,," Envoi d’un container en Arménie afin d’équiper la première crèche d’Etchmiadzine. Divers matériels pour l’accueil des enfants ont pu être offerts à la ville jumelle : lits, tables, placards, fauteuils pour handicapés, vêtements mais aussi des jouets.",
4047,,Allemagne,,Europe,Europe Arrondissement of Montpellier Republic of France http://sws.geonames.org/6529468/,Coopérations décentralisées,,Bussy Saint Georges,,Meiningen,,2006,,Culture,,Echanges culturels et artistiques,,En cours,,,,,,,,0,,0,,0,,Non,,0,,Jumelage,,,,,, Echanges divers.,," Les projets en cours :

Le Conservatoire de musique de Bussy a prévu un déplacement à Meiningen début avril 2007

Echange scolaire à l'automne 2007

Mise en place de correspondants

Voyages touristiques en Thuringe

Cours d'allemand

Spectacles, rencontres, randonnées franco-allemandes",
4460,,Portugal,,Europe,Europe Arrondissement of Montpellier Republic of France http://sws.geonames.org/6529468/,Coopérations décentralisées,,Fondettes,Fondettes Fondettes Republic of France http://sws.geonames.org/3018124/,Constancia,,1995,,Culture,,Aide à la diffusion,,En cours,,,,,,,,,,,,,,Non,,,,Jumelage,,,,,,,,,
7792,,Macédoine (Arym),,Europe,Europe Arrondissement of Montpellier Republic of France http://sws.geonames.org/6529468/,Coopérations décentralisées,,Conseil général des Hautes-Alpes,,Ville de Tetovo,,2009,,Développement économique,,Développement économique local,,En cours,,L’ALLIANCE FRANCAISE de TETOVO,,Conseil général des Hautes-Alpes,,"BENEFICIAIRES DU PROJET :

L’ensemble de la communauté du district de Tétovo en République de Macédoine 

",,42000,,20000,,20000,,Non,,", VILLE DE TETOVO 2000",,Le développement du territoire en zone de montagne,,,,VILLE DE TETOVO,," OBJECTIFS DU PROJET 

Les trois missions dans les Hautes-Alpes des élus, techniciens de la municipalité et socioprofessionnels de la ville de Tetovo ont permis de dégager des axes de travail qui sont repris dans le projet 2009.

Le fil rouge reste le développement d’un tourisme responsable, véhicule de compréhension mutuelle des activités de l’autre dans son environnement. La valorisation touristique, menée à l’échelle d’un territoire de vie, aborde l’ensemble des questions sociales et environnementales. C’est pourquoi ce projet de coopération se place dans le champ du tourisme responsable: il veille à un équilibre entre les aspects économiques, socioculturels et environnementaux. 
La coopération décentralisée prend ici tout son sens avec un partenariat entre acteurs qui ont les mêmes problématiques de gestion de leur territoire. 

Pour que les impacts positifs profitent véritablement aux citoyens de la région de Tetovo, une structuration est nécessaire. La qualité d’une approche participative repose sur le niveau de préparation et d’information et de formation des acteurs locaux. La promotion d’une activité de tourisme responsable reste quoi qu’il arrive à la charge des acteurs du territoire. Il est nécessaire de remplacer progressivement les interventions directes par des dynamiques d’accompagnement et de formation. 

C’est pourquoi le présent projet de coopération consacre une place de choix à la sensibilisation des acteurs locaux, à tous les échelons : élus locaux et agents administratifs des collectivités, mais aussi professeurs et écoliers, acteurs économiques (professionnels du tourisme et de la montagne) et associations. 
Cette sensibilisation n’a de sens que si elle aboutit à la mise ne place de formations adaptées à la demande de la clientèle et au contexte local. Seront concernés les adultes pionniers dans la mise en place du tourisme mais aussi les jeunes qui bénéficieront directement à moyen terme de l’augmentation en volume des débouchés en terme d’emplois. 
Atteindre un niveau significatif d’activité touristique nécessite des services indispensables, en particulier dans les secteurs de l’eau, de l’assainissement et de la protection de l’environnement. Les deux premiers sujets ont été abordés en 2008 lors de visites dans les Hautes Alpes avec des techniciens de la commune. Ils seront abordés cette année sous la forme d’une sensibilisation des citoyens aux économies d’énergie, l’utilisation de l’eau et à la prise en compte de l’environnement. Des malles pédagogiques fournies par le CRET sont en dépôt à l’Alliance Française de Tetovo. Elles devront être adaptées aux besoins et au contexte local et feront l’objet de tests et séances de formation de formateurs après identification de ces derniers.




",," Projet cofinancé par le MAEE en 2010 
RESUME 

Le projet 2009 doit être considéré comme la suite logique de celui de 2008. Si on identifie le projet 2008 comme phase de prospection, de choix et de mise en place, celui de 2009 sera celle de la réalisation. En suivant la ligne directrice, le développement du tourisme de montagne, les partenaires responsables ont dégagé les lignes de force qui la sou tendent. Ce projet prendra en charge, d’abord les éléments structurant ce tourisme de montagne, le patrimoine naturel et culturel, et les outils pour l’organiser. La professionnalisation des acteurs à tous les niveaux de compétences et dans les secteurs moteurs, encadrement, hébergement, service, préservation de l’environnement constituera la seconde ligne de force. Enfin, l’accent sera mis sur l’organisation de la communication portant sur la richesse du tourisme de montagne de la région de Tétovo. 


- Accompagnement à la définition de la politique touristique de la région de Tetovodéfinition de la politique touristique de la région de Tetovo
Objectif de l’action : OBJECTIF DE L’ACTION 
Définir le positionnement touristique de la région et contribuer à la création d’un office de tourisme


Description sommaire : DESCRIPTION SOMMAIRE

Un tourisme responsable est porteur de croissance économique, il est socialement enrichissant, culturellement ancré dans l’identité locale et respectueux de l’environnement. Il est nécessaire d’expliquer cette notion de tourisme responsable autour de laquelle se retrouvent des pratiques touristiques plus ou moins nouvelles qui ne doivent pas être considérées comme un simple enrobage « marketing ».

Les différentes actions de 2008 ont permis d’en établir la nécessité, pour ne pas dire l’urgence, la finalisation de la création d’un office de tourisme est une priorité pour la municipalité de Tetovo.

Dans le même temps, il s’agit d’engager une réflexion stratégique visant à trouver le positionnement touristique juste, en fonction du potentiel réel de la région.
Cette réflexion sera suivie d’une phase de rédaction d’un plan d’actions. Acteurs locaux et experts identifieront les axes de développement incontournables pour le territoire et établiront les priorités. Une stratégie sera mise en place pour communiquer sur ce positionnement, localement et à l’étranger. Cette démarche devra se faire en étroite collaboration avec le département Tourisme du Ministère de l’Economie.

Un des deux étudiants du projet Tandem déposé par le SCAC de Skopje appuiera cette démarche. 


",
6786,,Royaume-Uni,,Europe,Europe Arrondissement of Montpellier Republic of France http://sws.geonames.org/6529468/,Coopérations décentralisées,,Montsurs,,Chilcompton,,1992,,Culture,,Aide à la diffusion,,En cours,,,,,,,,,,,,,,Non,,,,Jumelage,,,,,,,,,
664,,Roumanie,,Europe,Europe Arrondissement of Montpellier Republic of France http://sws.geonames.org/6529468/,Coopérations décentralisées,,Quimper,Quimper Arrondissement de Quimper Republic of France http://sws.geonames.org/6431033/,Sântamaria-Rlea,,2004,,Développement rural et agricole,,Aménagement du territoire rural,,En cours,,,,,,,,32837,,3500,,6000,,Non,,Autres partenaires en France et en Roumanie 23365,,Développement rural et extension du réseau de tourisme rural,,"Conseil Général du Finistère, Direction départementale de l'agriculture (contact pris avec la Chambre d'agriculture du Finistère et l'Institut de formation agricole de St Ségal), Association Solidarité Développement Rhône Roumanie (SDRR), Solidarité 35 Roumanie (S35R), ALVAC (association de comités d'entreprise, promoteur de tourisme).
Ministère des Affaires Etrangères et Européennes.",,"Services départementaux de l'agriculture du Hunedoara, ALBA-AFRODA, de Alba Iulia, correspondant de SDRR, dans le domaine du développement agricole, ANTREC HUNEDOARRA, réseau de tourisme rural",," Les objectifs de ce projet sont de développer le milieu rural en apportant une formation rurale, des structures de base telles que la gestion, l'animation, les crédits...de manière à pouvoir développer le tourisme rural dans cette région de Roumanie.",," Projet cofinancé par le MAE en 2007.

Le projet veut amener à sensibiliser les agriculteurs du Pays de Hateg et crédibiliser leurs projets. Il tient également à favoriser la formation de professionnels par l'organisation de stages en France, à donner les moyens d'engager les évolutions nécessaires par la collaboration sur le terrain de techniciens et d'agriculteurs français et roumains. Il permettra aussi de concrétiser l'adhésion de la Roumanie à l'Europe en inscrivant les actions dans le cadre des projets européens. Enfin, ce projet de développement rural va contribuer à la poursuite de l'extension du réseau de tourisme rural.",
5965,,Espagne,,Europe,Europe Arrondissement of Montpellier Republic of France http://sws.geonames.org/6529468/,Coopérations décentralisées,,Sauveterre de Bearn,,Currea de Gallego,,1993,,Culture,,Echanges culturels et artistiques,,En cours,,,,,,,,0,,0,,0,,Non,,0,,Jumelage,,,,,, Non défini.,, Non défini.,
