Code département,,Département,,Code commune,,Commune,,Inscrits,,Votants,,Exprimés,,Extrême gauche,,Parti communiste,,Parti socialiste,,Radicaux de gauche,,Divers gauche,,Ecolo,,Divers,,Rassemblement pour la République,,Union pour la Démocratie Française,,Divers droite,,Front National,,Extrême droite,
60,,OISE,,395,,MERU,,6711,,4641,,4490,,0,,0,,2030,,0,,0,,0,,0,,1290,,0,,0,,1170,,0,
77,,SEINE-ET-MARNE,,285,,LE MEE-SUR-SEINE,,11793,,7249,,6877,,0,,0,,3550,,0,,0,,0,,0,,3327,,0,,0,,0,,0,
54,,MEURTHE-ET-MOSELLE,,528,,TOUL,Toul Toul Republic of France http://sws.geonames.org/2972350/,9582,,6318,,5845,,0,,0,,2854,,0,,0,,0,,0,,0,,2991,,0,,0,,0,
06,,ALPES-MARITIMES,,157,,VENCE,Vence Département des Ardennes Republic of France http://sws.geonames.org/2970147/,10065,,6805,,5897,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4483,,1414,,0,
57,,MOSELLE,,447,,MARLY,Marly-le-Roi Marly-le-Roi Republic of France http://sws.geonames.org/2995652/,7743,,5629,,5464,,0,,0,,2028,,0,,0,,0,,0,,0,,2690,,0,,746,,0,
83,,VAR,,107,,ROQUEBRUNE-SUR-ARGENS,Roquebrune-sur-Argens Roquebrune-sur-Argens Republic of France http://sws.geonames.org/2982875/,7382,,5046,,4332,,0,,0,,0,,0,,0,,0,,0,,0,,2814,,0,,1518,,0,
94,,VAL-DE-MARNE,,67,,SAINT-MANDE,,12708,,8859,,8432,,0,,2663,,0,,0,,0,,0,,0,,5769,,0,,0,,0,,0,
76,,SEINE-MARITIME,,57,,BARENTIN,Barentin Barentin Republic of France http://sws.geonames.org/3034951/,8277,,5895,,5569,,0,,0,,4101,,0,,0,,0,,0,,0,,1468,,0,,0,,0,
30,,GARD,,341,,VAUVERT,Vauvert Villegouin Republic of France http://sws.geonames.org/2970406/,6704,,4954,,4772,,0,,0,,2057,,0,,0,,0,,0,,0,,1732,,0,,983,,0,
06,,ALPES-MARITIMES,,161,,VILLENEUVE-LOUBET,Villeneuve-Loubet Villeneuve-Loubet Republic of France http://sws.geonames.org/2968533/,7947,,5374,,4890,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3852,,1038,,0,
